"ncbi_gene_id","gene_symbol","PAAD_fdr_adjusted_p_value","PAAD_cancer_sample_med","PAAD_normal_sample_med","PAAD_log2_fold_change","PAAD_p_value","KIRC_fdr_adjusted_p_value","KIRC_cancer_sample_med","KIRC_normal_sample_med","KIRC_log2_fold_change","KIRC_p_value","BRCA_fdr_adjusted_p_value","BRCA_cancer_sample_med","BRCA_normal_sample_med","BRCA_log2_fold_change","BRCA_p_value","LUAD_fdr_adjusted_p_value","LUAD_cancer_sample_med","LUAD_normal_sample_med","LUAD_log2_fold_change","LUAD_p_value"
106481742,"FRGCA",0.0085834,1,1,0,0.0955143816143498,0.00010324,1,1,0,0.00020049195450204,2.1496e-07,1,1,0,5.05289289740699e-07,1e-20,1,1,0,5.48805712878601e-20
10653,"SPINT2",0.012052,204.131,138.32,0.561485517293791,0.12120380141844,9.7801e-09,106.709,139.824,-0.389930152028085,2.52122771553711e-08,1e-20,190.281,91.209,1.0608834186521,5.02960526315789e-20,1e-20,199.359,113.017,0.818828937891318,5.48805712878601e-20
10682,"EBP",0.025827,43.046,32.016,0.427086110718167,0.200672252054794,8.5678e-13,23.837,42.131,-0.821679482201181,2.89074392517725e-12,1e-20,33.137,17.258,0.941177713862143,5.02960526315789e-20,2.1288e-05,37.999,34.926,0.121660028978073,4.36673406350667e-05
10683,"DLL3",0.0069827,1,1,0,0.0829566489527229,0.022285,1,1,0,0.0342443359670216,1.2592e-13,1,1,0,4.26773341214719e-13,1.3375e-08,1,1,0,3.47990456455755e-08
10712,"FAM189B",0.03929,25.688,18.941,0.439582069520165,0.262532844160215,1.4637e-05,25.76,22.37,0.203567337055498,3.02869036913683e-05,1e-20,39.128,22.986,0.767445938192753,5.02960526315789e-20,1e-20,30.902,17.934,0.785002910577825,5.48805712878601e-20
10728,"PTGES3",0.048445,282.341,240.794,0.229639200103915,0.297933748451053,0.0027308,327.574,355.476,-0.117931306594687,0.00469570791112478,1.0352e-16,426.222,363.865,0.228201775905037,4.17410548523207e-16,1e-20,358.228,273.356,0.390097064223554,5.48805712878601e-20
107546764,"LINC01976",0.017232,1,1,0,0.154094443243243,2.3015e-09,1,3.287,-1.71677145641822,6.17136422491308e-09,0.0015426,1,1,0,0.00252494511846988,0.0074707,1,1,0,0.0113141812245175
10761,"PLAC1",0.00011646,1,1,0,0.003699142272,0.043054,1,1,0,0.0627612438245454,1e-20,1.747,1,0.804879608254673,5.02960526315789e-20,1.9474e-17,1,1,0,8.84665792906645e-17
10766,"TOB2",0.0037216,49.858,42.582,0.227581299657133,0.0523608810772502,2.9842e-12,56.936,85.235,-0.582104824086526,9.71678806230892e-12,4.5514e-16,49.899,66.837,-0.421636075478076,1.76986027466938e-15,1.71e-07,42.278,59.977,-0.504502231289141,4.13169666088465e-07
107985879,"LINC01833",2.467e-06,1,1,0,0.000141137994236311,5.5105e-05,1,1.198,-0.260627908126699,0.000109184836109142,1e-20,1,1,0,5.02960526315789e-20,2.4692e-18,1,1,0,1.18117751448809e-17
