"cancer_type","ncbi_gene_id","fdr_adjusted_p_value","cancer_sample_med","normal_sample_med","log2_fold_change","p_value","gene_symbol"
"PAAD",7180,4.8242e-06,1.054,1,0.0758748669751276,0.000248108855958549,"CRISP2"
"PAAD",101927020,0.00018006,1,1,0,0.0052962194962963,"AL121974.1"
"PAAD",10321,0.0002629,29.756,11.314,1.39507152669505,0.00716908076923077,"CRISP3"
"PAAD",85315,0.00094871,17.65,12.645,0.481101146495304,0.0188526435635636,"PAQR8"
"PAAD",101927171,0.0016536,1,1,0,0.0285206491746308,"LINC01564"
"PAAD",55227,0.028948,20.725,12.471,0.732794947924947,0.216287427926233,"LRRC1"
"PAAD",90523,0.0088519,1,1,0,0.097572414658523,"MLIP"
"PAAD",27283,2.8149e-12,1.389,1,0.474046599319306,9.47142284745763e-10,"TINAG"
"PAAD",222584,0.036887,3.127,1.176,1.41089115908868,0.252471453981386,"FAM83B"
"PAAD",54511,0.0097042,1,1,0,0.103853249811321,"HMGCLL1"
"PAAD",653,0.001018,1.202,1.019,0.238282844545372,0.0199303116370809,"BMP5"
"PAAD",112935969,4.1399e-05,1,1,0,0.00156359927134725,"SCAT8"
"PAAD",577,0.0024044,1,1,0,0.0375252742138365,"ADGRB3"
"PAAD",1297,0.007722,1,1,0,0.088713625,"COL9A1"
"PAAD",57579,0.017045,11.044,6.981,0.661757176461565,0.153192763800905,"FAM135A"
"PAAD",22999,0.032885,1,1,0,0.235624333333333,"RIMS1"
"PAAD",441161,1.5982e-08,1,1,0,1.78002569832402e-06,"OOEP"
"PAAD",55510,0.047938,1,1,0,0.295823803543674,"DDX43"
"PAAD",1347,0.041188,207.433,178.731,0.214855542837565,0.269674333003627,"COX7A2"
"PAAD",3617,0.041233,1,1,0,0.269738641186161,"IMPG1"
"PAAD",3351,2.3289e-08,1,1,0,2.49909852972973e-06,"HTR1B"
"PAAD",83699,0.022792,37.31,23.298,0.679356247074509,0.185665483791547,"SH3BGRL2"
"PAAD",134701,0.00072649,1,1,0,0.0155748158531317,"RIPPLY2"
"PAAD",9096,1.921e-05,1,1.141,-0.190298791626595,0.000818362489270386,"TBX18"
"PAAD",102724201,0.001174,1,1,0,0.0221331889838557,"TBX18-AS1"
"PAAD",101928820,1.2252e-05,1,1,0,0.000564331099767981,"LINC02535"
"PAAD",375519,0.0032411,1,1,0,0.047068264228237,"GJB7"
"PAAD",10559,0.0072514,17.443,14.041,0.313002500750603,0.0852307831853168,"SLC35A1"
"PAAD",10957,0.040235,99.043,171.44,-0.791576835749304,0.265452050515121,"PNRC1"
"PAAD",2569,0.042262,1,1,0,0.273999093403005,"GABRR1"
"PAAD",10690,0.00087045,1,1,0,0.01763283,"FUT9"
"PAAD",2898,0.0024258,1,1,0,0.0376830726134585,"GRIK2"
"PAAD",11149,0.018461,1.24,1.404,-0.179202815030323,0.161377266402466,"BVES"
"PAAD",154442,0.034591,1,1,0,0.242051650334861,"BVES-AS1"
"PAAD",64208,0.0090798,1,1,0,0.0992031863511282,"POPDC3"
"PAAD",5550,0.025299,14.746,13.71,0.105095090965224,0.198512153359684,"PREP"
"PAAD",105377924,0.0052931,1,1,0,0.06788024625323,"AL109920.1"
"PAAD",28962,0.0057339,16.447,27.422,-0.737509342189586,0.0722267657360406,"OSTM1"
"PAAD",8724,0.0074634,196.103,242.273,-0.305022027112975,0.086865882063306,"SNX3"
"PAAD",285755,0.036507,1.236,1.25,-0.0162493516450748,0.250860839044652,"PPIL6"
"PAAD",9896,0.047295,15.344,22.342,-0.542083712587617,0.293487005,"FIG4"
"PAAD",8838,1.7065e-09,1,1,0,2.62615798449612e-07,"CCN6"
"PAAD",4082,0.041201,121.535,210.056,-0.789402150134481,0.269674333003627,"MARCKS"
"PAAD",222537,9.0523e-05,1,1,0,0.00301015510217755,"HS3ST5"
"PAAD",29940,0.026933,8.997,16.749,-0.896559033911567,0.206278516975309,"DSE"
"PAAD",345895,0.020228,1,1,0,0.171903363013699,"RSPH4A"
"PAAD",222546,0.0014654,1.042,1,0.0593552776164212,0.0259974269883825,"RFX6"
"PAAD",6098,0.00039619,1,1,0,0.00986455333333333,"ROS1"
"PAAD",2173,0.0091577,1,1,0,0.0996703182017544,"FABP7"
"PAAD",387103,0.0071796,9.127,8.101,0.172040723861926,0.0844869112033195,"CENPW"
"PAAD",2070,0.0024876,1,1,0,0.0385510032786885,"EYA4"
"PAAD",54806,0.023612,7.418,6.795,0.126556716848256,0.189484691996766,"AHI1"
"PAAD",340146,1.6261e-06,1,1,0,9.83729957446809e-05,"SLC35D3"
"PAAD",167826,0.028815,1,1,0,0.21545588700565,"OLIG3"
"PAAD",7128,0.007528,28.824,83.58,-1.53588720178298,0.0872330448979592,"TNFAIP3"
"PAAD",57221,0.00052551,7.022,3.311,1.08461498548376,0.0122878969611307,"ARFGEF3"
"PAAD",23593,0.026465,16.958,14.554,0.220550314917851,0.203794871993794,"HEBP2"
"PAAD",58527,0.049103,82.222,128.081,-0.639460106819613,0.300490985203453,"ABRACL"
"PAAD",645434,0.013684,1,1,0,0.132256459591042,"LINC01625"
"PAAD",57211,2.7912e-10,16.582,8.491,0.9656116470619,5.48622796039604e-08,"ADGRG6"
"PAAD",51390,0.021553,36.113,31.636,0.190951074133683,0.179250170087977,"AIG1"
"PAAD",387082,0.038347,1,1,0,0.258055811525424,"SUMO4"
"PAAD",11104,0.020884,18.851,24.56,-0.381669503698266,0.175349556775011,"KATNA1"
"PAAD",135250,0.036819,1,1,0,0.252239594202899,"AL355312.6"
"PAAD",84918,5.3715e-07,1.046,1,0.0648828515848544,3.80169332384342e-05,"LRP11"
"PAAD",353091,7.0612e-05,1,1,0,0.00242944440901213,"RAET1G"
"PAAD",80328,0.00081616,3.937,1.875,1.07020611688844,0.0169658725863874,"ULBP2"
"PAAD",80329,0.0041366,1,1,0,0.05640095,"ULBP1"
"PAAD",154064,0.00071072,1.897,1,0.923719678749389,0.0153194499891422,"RAET1L"
"PAAD",79465,0.040155,3.228,1.836,0.814074519863972,0.265362774043261,"ULBP3"
"PAAD",389434,0.038116,3.044,1,1.60596835884146,0.257367241074465,"IYD"
"PAAD",100422821,0.0019088,1,1,0,0.0320587966159052,"MIR1273C"
"PAAD",7430,0.0025934,482.79,361.228,0.418486068638381,0.0399534975950349,"EZR"
"PAAD",100130967,5.4704e-14,1.468,1,0.553851968181126,2.93509137297297e-11,"C6orf99"
"PAAD",9589,0.030458,84.173,127.197,-0.595635202104704,0.223531318299445,"WTAP"
"PAAD",6580,0.025145,1,1,0,0.197929635210151,"SLC22A1"
"PAAD",6581,0.0041756,13.878,7.722,0.845753212415489,0.0566365084699454,"SLC22A3"
"PAAD",5340,0.00028925,1,1,0,0.00773880188679245,"PLG"
"PAAD",9444,0.011084,13.988,24.935,-0.83398250185476,0.113951096841015,"QKI"
"PAAD",168090,0.027004,1,1,0,0.20650362403698,"C6orf118"
"PAAD",100874353,0.01563,1,1,0,0.144351345724907,"RPS6KA2-IT1"
"PAAD",100500857,0.0041767,1,1,0,0.0566365084699454,"MIR3939"
"PAAD",100616430,0.00087484,1,1,0,0.0176640432926829,"MIR4644"
"PAAD",54919,0.013003,22.718,20.244,0.166341451990407,0.127411429417572,"DNAAF5"
"PAAD",23353,0.036973,86.92,64.916,0.421114068009037,0.252750687327824,"SUN1"
"PAAD",11033,0.0091829,24.806,7.844,1.66102767687658,0.0998174206896552,"ADAP1"
"PAAD",54905,1.7003e-05,1.894,1,0.921436330806298,0.000736994663755458,"CYP2W1"
"PAAD",90637,0.011663,24.718,23.116,0.0966702405943311,0.118250192032686,"ZFAND2A"
"PAAD",202915,0.019355,11.735,8.545,0.457665444847031,0.166841276595745,"TMEM184A"
"PAAD",84262,0.0029001,74.408,56.9,0.387029088960826,0.0435827291445874,"PSMG3"
"PAAD",101927125,0.014228,1,1,0,0.135469667146283,"ELFN1-AS1"
"PAAD",3955,0.030538,84.616,51.695,0.710905739512678,0.22395285408201,"LFNG"
"PAAD",84629,2.8277e-09,32.976,24.539,0.426339951715821,4.0974817810219e-07,"TNRC18"
"PAAD",27102,0.007176,87.03,72.275,0.268016092554742,0.0844869112033195,"EIF2AK1"
"PAAD",221955,2.7667e-05,25.895,29.819,-0.203558318225985,0.00111335963562753,"DAGLB"
"PAAD",11014,0.048009,283.222,216.362,0.38848619623223,0.29598592173913,"KDELR2"
"PAAD",56913,0.046123,21.928,11.007,0.994352922856076,0.289025819444444,"C1GALT1"
"PAAD",101927354,2.1185e-06,1,1,0,0.000122972111111111,"AC005532.1"
"PAAD",340267,3.4325e-07,1.288,1,0.36513259345253,2.57904347368421e-05,"COL28A1"
"PAAD",3382,0.00055563,46.317,25.503,0.860874845573959,0.012840939185099,"ICA1"
"PAAD",221806,5.5787e-07,1,1,0,3.91336934275618e-05,"VWDE"
