"cancer_type","ncbi_gene_id","fdr_adjusted_p_value","cancer_sample_med","normal_sample_med","log2_fold_change","p_value","gene_symbol"
"LUAD",2706,1e-20,21.515,1.197,4.16784778289217,5.48805712878601e-20,"GJB2"
"LUAD",53342,2.5771e-17,1.433,5.057,-1.81924316886514,1.16031975151515e-16,"IL17D"
"LUAD",221150,1e-20,5.364,1,2.42330923724239,5.48805712878601e-20,"SKA3"
"LUAD",6445,2.5218e-19,1,7.808,-2.9649530529008,1.28288876055695e-18,"SGCG"
"LUAD",10810,5.542e-17,1.952,8.461,-2.11587513169525,2.45019944455465e-16,"WASF3"
"LUAD",241,1.0619e-14,76.568,316.779,-2.04866322015997,4.1109198019802e-14,"ALOX5AP"
"LUAD",10129,1e-20,5.7,17.558,-1.62309469506125,5.48805712878601e-20,"FRY"
"LUAD",9365,2.5581e-17,1,8.089,-3.01596136097249,1.15199787229743e-16,"KL"
"LUAD",90627,1e-20,6.073,25.596,-2.07543709721165,5.48805712878601e-20,"STARD13"
"LUAD",400120,3.9169e-16,1,13.505,-3.75542173473424,1.64833743013595e-15,"SERTM1"
"LUAD",4093,4.6696e-14,2.724,10.658,-1.96813812974796,1.72990982712766e-13,"SMAD9"
"LUAD",10631,1e-20,156.078,45.044,1.79286034381977,5.48805712878601e-20,"POSTN"
"LUAD",10186,1e-20,31.21,104.649,-1.7454782632522,5.48805712878601e-20,"LHFPL6"
"LUAD",28984,1e-20,98.433,816.384,-3.05203393759635,5.48805712878601e-20,"RGCC"
"LUAD",1361,1.164e-13,1.346,53.038,-5.30027605909847,4.21753666070558e-13,"CPB2"
"LUAD",55901,1.1508e-15,3.204,15.771,-2.29932808788432,4.70689660488163e-15,"THSD1"
"LUAD",27253,7.2215e-12,5.332,18.37,-1.78460294090974,2.33085547429399e-11,"PCDH17"
"LUAD",1602,1.3086e-20,1.226,10.088,-3.04060929663744,7.13249405722671e-20,"DACH1"
"LUAD",4008,1.3537e-18,79.03,225.379,-1.51188078338568,6.57726442119032e-18,"LMO7"
"LUAD",8796,1.2682e-15,28.414,106.436,-1.90531235087676,5.17283554172767e-15,"SCEL"
"LUAD",1910,5.5711e-20,7.471,110.629,-3.88828444731695,2.93877173254438e-19,"EDNRB"
"LUAD",9071,1e-20,3.88,1,1.9560566524124,5.48805712878601e-20,"CLDN10"
"LUAD",283481,1e-20,1.878,7.135,-1.92571636670935,5.48805712878601e-20,"FGF14-AS2"
"LUAD",100885782,3.8041e-15,1,9.69,-3.27649666564036,1.51099584209588e-14,"MYO16-AS1"
"LUAD",2159,4.5877e-16,3.49,12.647,-1.8574962616791,1.92047464124718e-15,"F10"
"LUAD",2621,1e-20,67.807,237.068,-1.80579481596803,5.48805712878601e-20,"GAS6"
"LUAD",100507747,1e-20,1,9.946,-3.31411643114067,5.48805712878601e-20,"C13orf46"
"LUAD",57447,1e-20,36.011,125.05,-1.7959954897009,5.48805712878601e-20,"NDRG2"
"LUAD",84502,1e-20,1,3.752,-1.90765982785329,5.48805712878601e-20,"JPH4"
"LUAD",196883,6.329e-12,5.153,17.44,-1.75891554251126,2.04901834689134e-11,"ADCY4"
"LUAD",29091,7.8095e-20,1.332,24.336,-4.19142607065323,4.09241303785563e-19,"STXBP6"
