"cancer_type","ncbi_gene_id","fdr_adjusted_p_value","cancer_sample_med","normal_sample_med","log2_fold_change","p_value","gene_symbol"
"COAD",25849,1.6191e-14,75.583,226.08,-1.58069968325779,9.28408546153846e-14,"PARM1"
"COAD",27163,5.8267e-15,33.031,162.734,-2.30062315224929,3.46457038287689e-14,"NAAA"
"COAD",6373,5.1415e-12,12.982,1.212,3.42105105736498,2.38299201036269e-11,"CXCL11"
"COAD",8987,7.3969e-15,2.149,7.457,-1.79492985875846,4.35193040515654e-14,"STBD1"
"COAD",651,1.0271e-14,1,27.938,-4.80415684099774,5.97063615804523e-14,"BMP3"
"COAD",51316,2.1092e-13,43.151,442.073,-3.3568187245601,1.1005142230518e-12,"PLAC8"
"COAD",84803,1.3242e-18,5.283,32.789,-2.6337825880382,1.07293784782609e-17,"GPAT3"
"COAD",6696,2.872e-19,82.452,9.031,3.19059683800736,2.45233050782741e-18,"SPP1"
"COAD",27306,1.6412e-13,1,6.198,-2.63180275492413,8.64597305064782e-13,"HPGDS"
"COAD",8633,6.4669e-13,1,3.339,-1.73941609340103,3.23605470351309e-12,"UNC5C"
"COAD",10098,1e-20,18.376,6.313,1.54142510561494,9.45981387478849e-20,"TSPAN5"
"COAD",130,1.0071e-13,4.748,18.274,-1.94440062028421,5.41388877403846e-13,"ADH6"
"COAD",125,1.0888e-12,1,65.167,-6.0260696760816,5.34082790085545e-12,"ADH1B"
"COAD",126,1.8752e-15,12.63,671.971,-5.73347242826151,1.1626032048794e-14,"ADH1C"
"COAD",1062,1e-20,6.495,1.988,1.70801176877296,9.45981387478849e-20,"CENPE"
"COAD",51176,1e-20,10.122,2.263,2.16118588974183,9.45981387478849e-20,"LEF1"
"COAD",4085,1e-20,24.933,8.349,1.57838116739266,9.45981387478849e-20,"MAD2L1"
"COAD",23657,1e-20,5.615,1,2.48928602262588,9.45981387478849e-20,"SLC7A11"
"COAD",1909,2.671e-17,8.586,2.392,1.84376878324972,1.94249017886179e-16,"EDNRA"
"COAD",4306,1e-20,7.588,60.74,-3.00085532464335,9.45981387478849e-20,"NR3C2"
"COAD",84057,1e-20,18.063,5.549,1.7027378151538,9.45981387478849e-20,"MND1"
"COAD",2110,1e-20,16.474,56.892,-1.78803490506551,9.45981387478849e-20,"ETFDH"
"COAD",3248,5.6319e-16,19.562,204.976,-3.38932921626824,3.65212623369093e-15,"HPGD"
"COAD",7098,2.6056e-15,3.785,14.567,-1.94433858691984,1.59816326933626e-14,"TLR3"
"COAD",55722,1e-20,8.948,2.159,2.05120201303661,9.45981387478849e-20,"CEP72"
"COAD",9319,1e-20,32.802,6.122,2.42170883139375,9.45981387478849e-20,"TRIP13"
"COAD",85409,1e-20,17.553,1.189,3.88389700379477,9.45981387478849e-20,"NKD2"
"COAD",134147,1.0272e-16,41.294,159.544,-1.94995027491328,7.08334061054579e-16,"CMBL"
"COAD",81792,1e-20,7.25,1,2.85798099512757,9.45981387478849e-20,"ADAMTS12"
"COAD",5734,6.6022e-16,15.131,48.814,-1.68978763867391,4.26226901270208e-15,"PTGER4"
"COAD",56477,3.2753e-18,20.187,145.903,-2.85351111559601,2.57272686687741e-17,"CCL28"
"COAD",375444,1e-20,3.359,1.078,1.63967461748199,9.45981387478849e-20,"C5orf34"
"COAD",3673,1e-20,34.602,10.452,1.72707639845826,9.45981387478849e-20,"ITGA2"
"COAD",11082,1e-20,8.956,1,3.16285452819051,9.45981387478849e-20,"ESM1"
"COAD",10309,1e-20,15.689,1.866,3.07173250810263,9.45981387478849e-20,"CCNO"
"COAD",8611,1e-20,25.528,101.582,-1.99249236504545,9.45981387478849e-20,"PLPP1"
"COAD",166968,4.7714e-11,15.543,56.506,-1.86213907652477,2.02126952453116e-10,"MIER3"
"COAD",105378992,4.0877e-12,1,4.866,-2.28273632027634,1.91161093893768e-11,"LINC02057"
"COAD",134285,9.196e-15,24.605,133.733,-2.44233208769401,5.36665313152401e-14,"TMEM171"
"COAD",8507,1e-20,96.68,21.61,2.16151840090608,9.45981387478849e-20,"ENC1"
"COAD",10788,7.4907e-16,22.626,66.533,-1.55608853057884,4.81640379815986e-15,"IQGAP2"
"COAD",2151,1e-20,3.965,1.341,1.56401162868687,9.45981387478849e-20,"F2RL2"
"COAD",9456,1e-20,5.296,1,2.40490312214513,9.45981387478849e-20,"HOMER1"
"COAD",1462,2.2483e-15,25.288,8.608,1.55470295734787,1.38585261576626e-14,"VCAN"
"COAD",1404,1.0138e-12,1,5.772,-2.52907129982911,4.98496248900616e-12,"HAPLN1"
"COAD",10085,3.137e-17,11.051,44.462,-2.00839592112106,2.26737979961215e-16,"EDIL3"
"COAD",4208,2.0073e-12,3.692,12.077,-1.70978766687797,9.63081954516198e-12,"MEF2C"
"COAD",10622,1e-20,4.29,1.233,1.79880484798407,9.45981387478849e-20,"POLR3G"
"COAD",55521,1.2376e-13,4.996,14.543,-1.54147952397224,6.59905789222699e-13,"TRIM36"
"COAD",57556,4.6403e-19,6.294,41.957,-2.73686244259681,3.8997004472003e-18,"SEMA6A"
"COAD",6558,1e-20,198.877,70.05,1.5054194832757,9.45981387478849e-20,"SLC12A2"
"COAD",23305,1e-20,3.256,1,1.70310069960416,9.45981387478849e-20,"ACSL6"
"COAD",6584,7.7183e-12,15.477,61.151,-1.98225023895886,3.51672977393075e-11,"SLC22A5"
"COAD",6932,1e-20,45.37,10.436,2.12016981042065,9.45981387478849e-20,"TCF7"
"COAD",7045,1e-20,690.374,87.317,2.98304366377219,9.45981387478849e-20,"TGFBI"
"COAD",389332,9.2873e-17,2.098,21.015,-3.32433287346207,6.42213636054422e-16,"SMIM32"
"COAD",10112,1e-20,22.782,7.216,1.65862316108486,9.45981387478849e-20,"KIF20A"
"COAD",2908,1.3351e-14,4.781,17.08,-1.83692366416016,7.70101658498839e-14,"NR3C1"
"COAD",3360,6.8116e-11,1,5.452,-2.44678556214312,2.83875905329855e-10,"HTR4"
"COAD",154,1.6589e-13,1,3.216,-1.68526740651684,8.72483083254939e-13,"ADRB2"
"COAD",389337,2.6228e-16,6.155,17.744,-1.52750050878989,1.75190192353644e-15,"ARHGEF37"
"COAD",5145,3.4815e-12,1,4.988,-2.31846146516758,1.63667825310069e-11,"PDE6A"
"COAD",1836,1.1959e-12,13.21,616.495,-5.54438682219358,5.85205945295405e-12,"SLC26A2"
"COAD",11346,3.0075e-17,23.074,76.319,-1.72577414346169,2.17941420933247e-16,"SYNPO"
"COAD",206358,2.5178e-11,16.88,62.085,-1.87892984524426,1.09267536192509e-10,"SLC36A1"
"COAD",6678,1e-20,540.339,187.721,1.52527476418078,9.45981387478849e-20,"SPARC"
"COAD",100190949,2.4555e-11,2.179,7.719,-1.82474776133905,1.06708796152351e-10,"C5orf52"
"COAD",114898,7.1065e-13,1.562,5.361,-1.77910768162067,3.54421631355932e-12,"C1QTNF2"
"COAD",64901,2.6443e-20,3.239,1.023,1.66274232304986,2.42553244052502e-19,"RANBP17"
"COAD",54492,5.2532e-14,18.564,56.594,-1.60814150645964,2.8846238497422e-13,"NEURL1B"
"COAD",8614,1e-20,13.017,1,3.70232508687581,9.45981387478849e-20,"STC2"
"COAD",4488,1e-20,12.82,1,3.68032435684402,9.45981387478849e-20,"MSX2"
"COAD",80758,1e-20,9.165,1.498,2.6130972569685,9.45981387478849e-20,"PRR7"
"COAD",9509,1e-20,17.368,4.012,2.11403812000296,9.45981387478849e-20,"ADAMTS2"
"COAD",4056,2.2191e-13,1.637,5.542,-1.75935238900726,1.15543034458673e-12,"LTC4S"
"COAD",79908,3.5999e-11,6.13,107.404,-4.13101683984031,1.54384031831256e-10,"BTNL8"
"COAD",10917,5.0983e-15,8.739,94.276,-3.43135044102375,3.04604015228426e-14,"BTNL3"
"COAD",94234,1e-20,52.432,1,5.71237567288067,9.45981387478849e-20,"FOXQ1"
"COAD",63027,6.709e-14,14.536,48.783,-1.74674815735345,3.65935041463415e-13,"SLC22A23"
"COAD",654,2.4974e-11,1,5.514,-2.4630992673481,1.0844535184466e-10,"BMP6"
"COAD",2651,8.2764e-19,1,13.343,-3.73801116909572,6.81964381724392e-18,"GCNT2"
"COAD",84830,2.3031e-15,5.893,128.957,-4.45174401071923,1.41806787720264e-14,"ADTRP"
"COAD",6659,1e-20,90.16,25.252,1.8360898592966,9.45981387478849e-20,"SOX4"
"COAD",51567,3.6447e-15,108.32,393.857,-1.86237227286784,2.21124324742268e-14,"TDP2"
"COAD",10590,6.5971e-13,1,25.558,-4.67570303981959,3.29751782074207e-12,"SCGN"
"COAD",10050,9.536e-12,1.762,31.197,-4.14612147236986,4.30196823517547e-11,"SLC17A4"
"COAD",100507173,1e-20,3.76,1.279,1.55571639768336,9.45981387478849e-20,"AL009179.1"
"COAD",389376,1.9308e-13,5.088,1,2.34709867062227,1.00931464235624e-12,"SFTA2"
"COAD",80736,3.5242e-19,245.324,825.201,-1.7500571901411,2.98755438210766e-18,"SLC44A4"
"COAD",717,1e-20,26.355,8.756,1.58973283243595,9.45981387478849e-20,"C2"
"COAD",8705,1e-20,13.918,42.819,-1.62129919072201,9.45981387478849e-20,"B3GALT4"
"COAD",102465668,2.6918e-19,3.31,1,1.72683121703249,2.30197795028681e-18,"MIR7111"
"COAD",57699,1.43e-12,4.562,21.285,-2.22209873835693,6.94141306707185e-12,"CPNE5"
"COAD",23500,3.4409e-11,2.471,9.182,-1.89371342138358,1.47722877135727e-10,"DAAM2"
