Cancer type,NCBI gene id,Gene symbol,FDR adjusted p-value,log2 fold change
LUAD,714,C1QC,1.3673e-14,-1.23774584703195
LUAD,713,C1QB,3.9459e-15,-1.73395474660049
LUAD,2048,EPHB2,1e-20,1.9317780051779
LUAD,100422914,MIR4253,0.098833,0.0
LUAD,729059,TEX46,0.012216,0.0
LUAD,23028,KDM1A,1e-20,0.57585683512307
LUAD,100422866,MIR3115,0.013397,0.0
LUAD,7798,LUZP1,0.00023278,-0.451585558740484
LUAD,3352,HTR1D,1e-20,0.0
LUAD,10236,HNRNPR,9.828e-18,0.302676032147049
LUAD,80818,ZNF436,3.1114e-09,0.244778210641181
LUAD,148898,ZNF436-AS1,1e-20,1.0393516001494
LUAD,6920,TCEA3,1e-20,0.488357540218202
LUAD,55616,ASAP3,4.3067e-05,-0.592264889978252
LUAD,1870,E2F2,1e-20,1.47871300244172
LUAD,3399,ID3,1.2968e-11,-1.2039689109021
LUAD,6135,RPL11,0.10633,0.0119317875041836
LUAD,100506963,ELOA-AS1,2.9177e-15,0.712829495111255
LUAD,6924,ELOA,0.00070709,-0.292730593115328
LUAD,57095,PITHD1,0.011141,0.0375389655710013
LUAD,11313,LYPLA2,1e-20,0.850212105454652
LUAD,2582,GALE,1e-20,1.10655597572469
LUAD,3155,HMGCL,3.5636e-09,0.0889425634427906
LUAD,2517,FUCA1,0.20006,0.241172321033547
LUAD,1269,CNR2,0.40786,0.0
LUAD,55629,PNRC2,9.0516e-10,-0.403635570999016
LUAD,10772,SRSF10,8.2889e-18,0.40905801100227
LUAD,127294,MYOM3,1.7937e-07,0.0
LUAD,58985,IL22RA1,1.6758e-08,0.415936654833589
LUAD,163702,IFNLR1,9.2764e-07,-0.582693724079068
LUAD,57822,GRHL3,1e-20,1.09288396567848
LUAD,90529,STPG1,0.041645,-0.214176595938797
LUAD,57185,NIPAL3,7.0056e-09,-0.65665752400355
LUAD,100750325,RCAN3AS,0.18279,0.282143228781498
LUAD,11123,RCAN3,5.3881e-07,0.286942615673484
LUAD,400746,NCMAP,0.0075587,-0.802715331065597
LUAD,10250,SRRM1,5.2065e-07,0.220275931804333
LUAD,25932,CLIC4,2.5222e-14,-0.806892772869649
LUAD,864,RUNX3,0.011877,-0.48402347271872
LUAD,102465437,MIR6731,0.40826,0.0
LUAD,25949,SYF2,0.14947,0.0056519656913669
LUAD,57035,RSRP1,2.0739e-17,0.929766863271733
LUAD,6007,RHD,5.0651e-05,0.0
LUAD,23585,TMEM50A,4.4391e-09,0.107595398939903
LUAD,6006,RHCE,1e-20,0.809002774939086
LUAD,55219,MACO1,1.0985e-18,0.254134876749497
LUAD,26119,LDLRAP1,0.86425,-0.178121928323015
LUAD,57134,MAN1C1,2.1315e-10,-0.878325718057388
LUAD,57190,SELENON,0.00081964,-0.283090066844314
LUAD,56181,MTFR1L,0.58117,-0.0592183336703136
LUAD,79000,AUNIP,1e-20,1.64524051264527
LUAD,164091,PAQR7,2.3371e-07,0.461279858692685
LUAD,3925,STMN1,1e-20,0.788987951261651
LUAD,5051,PAFAH2,8.2501e-06,0.0547765241452219
LUAD,2134,EXTL1,0.0017726,0.0
LUAD,7780,SLC30A2,1.9963e-05,0.0
LUAD,84676,TRIM63,0.99814,0.0
LUAD,149420,PDIK1L,1e-20,0.772630042133745
LUAD,79927,FAM110D,1.2178e-12,-2.4009091804252
LUAD,10256,CNKSR1,1e-20,0.677985549329449
LUAD,64793,CEP85,1e-20,0.963893338083756
LUAD,83442,SH3BGRL3,0.7299,-0.0366890739662431
LUAD,91544,UBXN11,0.11392,-0.203040114571358
LUAD,1043,CD52,1.4536e-14,-2.39105099286193
LUAD,55057,CRYBG2,3.2989e-06,0.30152950584671
LUAD,257101,ZNF683,0.0028913,-0.205691614222015
LUAD,79947,DHDDS,1e-20,0.375793039982878
LUAD,3151,HMGN2,0.0010379,0.0154058116038943
LUAD,6195,RPS6KA1,2.406e-10,-0.444147892882463
LUAD,8289,ARID1A,9.8803e-09,0.244766647663094
LUAD,55650,PIGV,1.4287e-09,0.0858792812001365
LUAD,84243,ZDHHC18,1e-20,0.733119513891898
LUAD,2810,SFN,2.4522e-08,1.37195771911502
LUAD,54707,GPN2,1.2364e-15,0.247045460811375
LUAD,63906,GPATCH3,6.0139e-07,0.122050293114954
LUAD,10726,NUDC,8.2505e-08,0.425503457265348
LUAD,8431,NR0B2,0.81169,-2.71363433568668
LUAD,126695,KDF1,1e-20,0.814013225092289
LUAD,388610,TRNP1,5.2835e-11,-0.0041388506422735
LUAD,115572,TENT5B,5.5312e-19,-3.14394362651112
LUAD,6548,SLC9A1,0.0022464,-0.370377053842383
LUAD,23038,WDTC1,0.00010123,-0.30958381568438
LUAD,84065,TMEM222,0.37067,0.0189096789445255
LUAD,84958,SYTL1,1e-20,0.835507285953078
LUAD,9064,MAP3K6,0.029582,-0.288959623808001
LUAD,8547,FCN3,4.4045e-13,-5.11610420899031
LUAD,388611,CD164L2,0.4179,-0.243325611484577
LUAD,2827,GPR3,0.83833,0.278261860027362
LUAD,10163,WASF2,6.5965e-10,-0.502910166084917
LUAD,27245,AHDC1,8.1928e-18,0.514121740348133
LUAD,2268,FGR,3.2934e-16,-2.10298986573032
LUAD,111216282,LINC02574,0.0011921,0.0
LUAD,2537,IFI6,6.9535e-11,0.0984986660166338
LUAD,199870,FAM76A,4.9362e-10,-0.412013963849814
LUAD,23673,STX12,1e-20,-0.913119753694686
LUAD,5511,PPP1R8,1e-20,0.308449735413295
LUAD,677774,SCARNA1,0.0013587,0.0
LUAD,9473,THEMIS2,7.3426e-14,-0.960417730170754
LUAD,6118,RPA2,7.2902e-16,0.388427895908811
LUAD,27293,SMPDL3B,1e-20,1.60519954755455
LUAD,55113,XKR8,1.6051e-20,0.311752084886715
LUAD,2140,EYA3,0.032639,-0.0196533184470042
LUAD,5724,PTAFR,2.9162e-10,-0.961854284507119
LUAD,22826,DNAJC8,0.0037162,0.0704231289774491
LUAD,93974,ATP5IF1,2.6419e-09,0.20401944863577
LUAD,83667,SESN2,1.2939e-06,0.15005849278743
LUAD,54797,MED18,5.9282e-12,0.393733634771241
LUAD,65979,PHACTR4,0.0014272,0.154833663814054
LUAD,1104,RCC1,1e-20,1.70427579684876
LUAD,8420,SNHG3,1e-20,1.51448668809869
LUAD,26768,SNORA73B,0.00013502,1.6492823796298
LUAD,54952,TRNAU1AP,1e-20,0.439642650443902
LUAD,85028,SNHG12,1e-20,1.20677705949791
LUAD,692212,SNORD99,1e-20,1.69786773233845
LUAD,6883,TAF12,1e-20,0.521103376490788
LUAD,115273,RAB42,0.0012709,0.714836646921173
LUAD,105378616,LINC01715,2.5195e-13,0.0
LUAD,10691,GMEB1,0.042066,-0.0011732408135524
LUAD,51441,YTHDF2,3.3668e-11,0.22240660351661
LUAD,4985,OPRD1,9.4539e-08,0.0
LUAD,2035,EPB41,6.6689e-13,0.340606647912138
LUAD,399474,TMEM200B,0.1265,-0.125778965737021
LUAD,6429,SRSF4,0.037601,0.0338344504428437
LUAD,51102,MECR,1e-20,0.509807400045326
LUAD,10076,PTPRU,0.02821,-0.124522274805915
LUAD,101929406,LINC01648,0.16687,0.0
LUAD,100129196,MATN1-AS1,1e-20,0.65901117119815
LUAD,7805,LAPTM5,2.1715e-14,-1.15285376992925
LUAD,100616164,MIR4420,0.4515,-0.0200576523412534
LUAD,105378622,LINC01778,2.7447e-09,0.0
LUAD,9672,SDC3,0.0006573,-0.0626707506885045
LUAD,9698,PUM1,5.8647e-12,0.3070685025096
LUAD,79570,NKAIN1,3.426e-05,0.0
LUAD,9410,SNRNP40,1e-20,0.386748993104276
LUAD,51538,ZCCHC17,3.8424e-19,0.257355170232916
LUAD,2170,FABP3,0.90322,-0.408492454682909
LUAD,347735,SERINC2,1e-20,1.94916479310101
LUAD,64129,TINAGL1,5.777e-05,-0.900247662782656
LUAD,3061,HCRTR1,0.017063,0.0
LUAD,553115,PEF1,9.3232e-20,-0.389968600619562
LUAD,1307,COL16A1,9.5802e-15,0.549527784491577
LUAD,576,ADGRB2,1e-20,1.14274017211608
LUAD,100423028,MIR4254,0.0066986,0.0
LUAD,90853,SPOCD1,0.79105,-0.342248607336818
LUAD,8073,PTP4A2,1.0866e-13,0.141742126246379
LUAD,10657,KHDRBS1,1e-20,0.354025067015704
LUAD,55116,TMEM39B,1.2937e-09,0.212139219726129
LUAD,100847018,MIR5585,0.0036471,0.0
LUAD,23633,KPNA6,1.3465e-08,0.128733314122203
LUAD,200081,TXLNA,1.5488e-14,0.303947703651569
LUAD,79140,CCDC28B,5.2264e-14,0.821565467487046
