Cancer type,NCBI gene id,Gene symbol,FDR adjusted p-value,log2 fold change
COAD,1912,PHC2,1.5573e-17,0.593663590558288
COAD,100500853,MIR3605,2.0072e-05,0.0
COAD,7579,ZSCAN20,3.7628e-10,0.0
COAD,114784,CSMD2,2.4664e-05,0.0
COAD,84970,C1orf94,0.3181,0.0
COAD,693137,MIR552,0.0059735,0.0
COAD,113444,SMIM12,1.4622e-12,-0.453869088932862
COAD,2709,GJB5,2.1163e-19,0.702214251010441
COAD,127534,GJB4,1e-20,1.36176835941915
COAD,2707,GJB3,2.7117e-12,1.88234937915607
COAD,2701,GJA4,0.0026997,0.283200775268654
COAD,58512,DLGAP3,0.14847,0.0
COAD,9204,ZMYM6,5.6812e-06,0.179798485275359
COAD,79830,ZMYM1,1.667e-17,0.508952297047648
COAD,6421,SFPQ,6.8971e-17,0.60209446049768
COAD,9202,ZMYM4,5.5433e-11,0.43185251918455
COAD,100861513,ZMYM4-AS1,0.001112,0.0
COAD,79932,KIAA0319L,0.59756,-0.12429943406554
COAD,23154,NCDN,1.2528e-07,0.752895726227158
COAD,339488,TFAP2E,1.3329e-10,0.0
COAD,5690,PSMB2,1e-20,0.65776826223318
COAD,127703,C1orf216,0.099205,0.641950890591392
COAD,63967,CLSPN,1e-20,1.55030993152692
COAD,192670,AGO4,0.00024797,0.176674949385976
COAD,26523,AGO1,0.86151,-0.203080655582284
COAD,192669,AGO3,6.1388e-06,0.41986081737579
