cancer_type,ncbi_gene_id,gene_symbol,fdr_adjusted_p_value,log2_fold_change
LUAD,389336,C5orf46,1e-20,1.6073895000244
LUAD,154,ADRB2,1e-20,-3.20950209580132
LUAD,22885,ABLIM3,4.2231000000000004e-19,-1.78519377154241
LUAD,134265,AFAP1L1,8.3759e-15,-1.75667718504111
LUAD,11346,SYNPO,1e-20,-1.72602786746491
LUAD,2878,GPX3,1e-20,-2.80392246025793
LUAD,26112,CCDC69,1e-20,-1.65347737464921
LUAD,2890,GRIA1,2.9088e-17,-3.31990690666801
LUAD,114898,C1QTNF2,1.4594e-16,-1.94671818830276
LUAD,9232,PTTG1,1e-20,2.11673104390075
LUAD,3161,HMMR,1e-20,3.01339559336904
LUAD,6586,SLIT3,1.8682e-18,-3.06219154312935
LUAD,1843,DUSP1,4.829e-13,-1.99662242135133
LUAD,94081,SFXN1,1e-20,1.50912573874474
LUAD,114787,GPRIN1,1e-20,2.15898325116039
LUAD,3101,HK3,1.2837e-11,-1.97715042705031
LUAD,2264,FGFR4,2.2497e-19,-3.13795787736469
LUAD,83463,MXD3,1e-20,1.59784248518392
LUAD,2161,F12,1e-20,1.62807365419614
LUAD,2324,FLT4,3.333e-12,-1.5198109947823
LUAD,153579,BTNL9,8.8956e-13,-3.94044639634036
LUAD,2295,FOXF2,1.7193e-13,-1.5265054877783
LUAD,347733,TUBB2B,3.0013e-18,1.60644222813161
LUAD,10799,RPP40,1e-20,1.62097789904764
LUAD,51299,NRN1,7.8238e-16,-2.27049317589029
LUAD,1832,DSP,1e-20,2.03362890386966
LUAD,7020,TFAP2A,1e-20,2.64477921926295
LUAD,4739,NEDD9,1.5804e-17,-1.94841655003981
LUAD,84830,ADTRP,4.1179e-15,-2.51325958092806
LUAD,221692,PHACTR1,1e-20,-2.69691794160671
LUAD,54438,GFOD1,2.0626e-14,-2.00662507648271
LUAD,221687,RNF182,2.6961e-11,-1.89646561618943
LUAD,255488,RNF144B,1e-20,-1.76362515635435
LUAD,3400,ID4,5.136e-18,-2.3721083030972
LUAD,6659,SOX4,1e-20,1.61533509757162
LUAD,51473,DCDC2,8.5743e-13,-2.09206505226459
LUAD,394263,MUC21,1e-20,2.26610063354099
LUAD,629,CFB,3.9883e-17,1.62088494172942
LUAD,7148,TNXB,3.2233e-13,-3.38967464557099
LUAD,177,AGER,1e-20,-6.76965845657555
LUAD,4855,NOTCH4,1.7232e-14,-1.99115048169258
LUAD,3833,KIFC1,1e-20,2.68365235128037
